-5	-0.999999999998991	-0.999999999998452	5.38791233850588E-13
-4.99	-0.99999999999888	-0.999999999998286	5.94080340476921E-13
-4.98	-0.999999999998758	-0.999999999998103	6.54809539923917E-13
-4.97	-0.999999999998622	-0.999999999997901	7.21422921401427E-13
-4.96	-0.999999999998472	-0.999999999997677	7.94697641026687E-13
-4.95	-0.999999999998306	-0.99999999999743	8.75410854916936E-13
-4.94	-0.999999999998122	-0.999999999997158	9.63895629979561E-13
-4.93	-0.999999999997918	-0.999999999996857	1.06115116693672E-12
-4.92	-0.999999999997693	-0.999999999996525	1.16795462190566E-12
-4.91	-0.999999999997444	-0.999999999996159	1.28519417330608E-12
-4.9	-0.999999999997169	-0.999999999995755	1.4139800441626E-12
-4.89	-0.999999999996864	-0.999999999995309	1.55531143519738E-12
-4.88	-0.999999999996528	-0.999999999994818	1.71029856943505E-12
-4.87	-0.999999999996156	-0.999999999994276	1.88038473680763E-12
-4.86	-0.999999999995746	-0.999999999993679	2.06690220494465E-12
-4.85	-0.999999999995292	-0.999999999993021	2.27151630838307E-12
-4.84	-0.999999999994791	-0.999999999992295	2.49567033705489E-12
-4.83	-0.999999999994238	-0.999999999991497	2.74136269240444E-12
-4.82	-0.999999999993628	-0.999999999990617	3.0107027981785E-12
-4.81	-0.999999999992954	-0.999999999989648	3.30557803351894E-12
-4.8	-0.999999999992211	-0.999999999988582	3.62865293368486E-12
-4.79	-0.99999999999139	-0.999999999987408	3.98236998933044E-12
-4.78	-0.999999999990486	-0.999999999986116	4.36950475801723E-12
-4.77	-0.999999999989488	-0.999999999984695	4.79338790881911E-12
-4.76	-0.999999999988389	-0.999999999983131	5.25712806620504E-12
-4.75	-0.999999999987176	-0.999999999981412	5.76438896615628E-12
-4.74	-0.99999999998584	-0.999999999979521	6.31916741156147E-12
-4.73	-0.999999999984368	-0.999999999977442	6.92579327221665E-12
-4.72	-0.999999999982746	-0.999999999975157	7.58904050712772E-12
-4.71	-0.999999999980959	-0.999999999972646	8.31368307530056E-12
-4.7	-0.999999999978992	-0.999999999969887	9.10571618106815E-12
-4.69	-0.999999999976827	-0.999999999966856	9.97080196185607E-12
-4.68	-0.999999999974443	-0.999999999963527	1.09156017558121E-11
-4.67	-0.999999999971819	-0.999999999959872	1.19473320125962E-11
-4.66	-0.999999999968932	-0.999999999955859	1.30734312264735E-11
-4.65	-0.999999999965757	-0.999999999951454	1.4302559137036E-11
-4.64	-0.999999999962264	-0.99999999994662	1.56435975284808E-11
-4.63	-0.999999999958423	-0.999999999941317	1.71065384080293E-11
-4.62	-0.999999999954201	-0.999999999935499	1.87018178721132E-11
-4.61	-0.999999999949559	-0.999999999929118	2.04413153070959E-11
-4.6	-0.999999999944458	-0.999999999922121	2.23375762331557E-11
-4.59	-0.999999999938854	-0.99999999991445	2.44040343488905E-11
-4.58	-0.999999999932698	-0.999999999906042	2.66554556205278E-11
-4.57	-0.999999999925936	-0.999999999896828	2.91079382819248E-11
-4.56	-0.999999999918511	-0.999999999886732	3.17786907899631E-11
-4.55	-0.99999999991036	-0.999999999875673	3.46866979583638E-11
-4.54	-0.999999999901413	-0.999999999863561	3.78517217569652E-11
-4.53	-0.999999999891594	-0.999999999850298	4.12961886908647E-11
-4.52	-0.999999999880821	-0.999999999835778	4.5043524465882E-11
-4.51	-0.999999999869004	-0.999999999819884	4.91194862561883E-11
-4.5	-0.999999999856043	-0.999999999802491	5.35518296373994E-11
-4.49	-0.999999999841832	-0.999999999783461	5.83706416534824E-11
-4.48	-0.999999999826252	-0.999999999762644	6.36078967275466E-11
-4.47	-0.999999999809176	-0.999999999739877	6.92990109740776E-11
-4.46	-0.999999999790462	-0.999999999714981	7.54816209536102E-11
-4.45	-0.99999999976996	-0.999999999687763	8.21964718511481E-11
-4.44	-0.999999999747501	-0.999999999658013	8.94875284984664E-11
-4.43	-0.999999999722905	-0.999999999625502	9.74024194633216E-11
-4.42	-0.999999999695973	-0.99999999958998	1.05992215004846E-10
-4.41	-0.999999999666489	-0.999999999551177	1.15312204229667E-10
-4.4	-0.999999999634219	-0.999999999508797	1.25422006114206E-10
-4.39	-0.999999999598907	-0.999999999462521	1.36385791549287E-10
-4.38	-0.999999999560272	-0.999999999412	1.48272505384739E-10
-4.37	-0.999999999518012	-0.999999999356855	1.61156865630119E-10
-4.36	-0.999999999471796	-0.999999999296677	1.75118919365502E-10
-4.35	-0.999999999421262	-0.999999999231017	1.90245041942205E-10
-4.34	-0.99999999936602	-0.999999999159392	2.06627825960481E-10
-4.33	-0.999999999305643	-0.999999999081275	2.24367635581757E-10
-4.32	-0.999999999239666	-0.999999998996095	2.43571496305606E-10
-4.31	-0.999999999167586	-0.999999998903231	2.64355204393496E-10
-4.3	-0.999999999088853	-0.999999998802011	2.86842660734976E-10
-4.29	-0.999999999002872	-0.999999998691704	3.11167536182211E-10
-4.28	-0.999999998908993	-0.99999999857152	3.37473049505377E-10
-4.27	-0.999999998806512	-0.999999998440599	3.65912966593385E-10
-4.26	-0.999999998694664	-0.999999998298012	3.96652488632299E-10
-4.25	-0.999999998572618	-0.999999998142749	4.29869029261454E-10
-4.24	-0.99999999843947	-0.999999997973718	4.65752547640363E-10
-4.23	-0.99999999829424	-0.999999997789733	5.04506991738651E-10
-4.22	-0.999999998135864	-0.999999997589514	5.46350964469866E-10
-4.21	-0.999999997963188	-0.999999997371669	5.91518944936809E-10
-4.2	-0.999999997774958	-0.999999997134696	6.40261954565347E-10
-4.19	-0.999999997569815	-0.999999996876966	6.92848667327439E-10
