8	-0.500038447783794
8.04	-0.500040352896135
8.08	-0.500041364430489
8.12	-0.500043342243097
8.16	-0.500044039827076
8.2	-0.500046605366073
8.24	-0.500046494333512
8.28	-0.500050288315583
8.32	-0.500046697999648
8.36	-0.500046916331615
8.4	-0.500048783896004
8.44	-0.500050707118313
8.48	-0.500055172474618
8.52	-0.500052076101469
8.56	-0.500053581061866
8.6	-0.500054503185356
8.64	-0.500054287252475
8.68	-0.50005352889552
8.72	-0.500056601012485
8.76	-0.500030176006285
8.8	-0.500031221100269
8.84	-0.50003142486132
8.88	-0.500031302404547
8.92	-0.500031511223494
8.96	-0.500033337856912
9	-0.500033173600154
9.04	-0.500033875995951
9.08	-0.50003403348665
9.12	-0.500033556705014
9.16	-0.500033711572848
9.2	-0.500034862929655
9.24	-0.500034935034452
9.28	-0.500035835996814
9.32	-0.500035059616634
9.36	-0.500035078644962
9.4	-0.500035943220204
9.44	-0.500033146471591
9.48	-0.500035570872403
9.52	-0.500035129402458
9.56	-0.500036937175153
9.6	-0.500035793818142
9.64	-0.500024715432595
9.68	-0.500033499599354
9.72	-0.500033018654217
9.76	-0.500032792656858
9.8	-0.500023824008775
9.84	-0.500024608633295
9.88	-0.500024169210884
9.92	-0.5000239836535
9.96	-0.500023720497244
10	-0.500024824611906
10.04	-0.500024903545163
10.08	-0.500024722630279
10.12	-0.500023849750849
10.16	-0.500025012790501
10.2	-0.500024958378566
10.24	-0.50002490976032
10.28	-0.500025151138362
10.32	-0.500025132660019
10.36	-0.500023676982625
10.4	-0.500023598308927
10.44	-0.500025630395635
10.48	-0.500024086659463
10.52	-0.500024072791992
10.56	-0.500023798215916
10.6	-0.500023715355468
10.64	-0.500019679814966
10.68	-0.500023604446523
10.72	-0.500019426850705
10.76	-0.500019204509127
10.8	-0.500019560245792
10.84	-0.500019311117991
10.88	-0.500019343934462
10.92	-0.500019227240345
10.96	-0.500019205227474
11	-0.500019331155075
11.04	-0.50001917674966
11.08	-0.500019449745749
11.12	-0.500019279232527
11.16	-0.500019105583797
11.2	-0.500019222051573
11.24	-0.500019172144571
11.28	-0.500019114504391
11.32	-0.500018967643003
11.36	-0.500018889142864
11.4	-0.500019471849955
11.44	-0.500019308101325
11.48	-0.500019221761387
11.52	-0.500019077582973
11.56	-0.500018948800761
11.6	-0.500018841110358
11.64	-0.500016808082993
11.68	-0.500016815942921
11.72	-0.500016704616443
11.76	-0.500016607518964
11.8	-0.500016891196015
11.84	-0.500016811075398
11.88	-0.500016628106211
11.92	-0.500016617754215
11.96	-0.500016555047123
